,nombre,equipo,posicion,ritmo,tiro,pase,regate,defensa,fisico,salto,estirada,parada,saque,colocacion,reflejos
0,T. COURTOIS,REAL MADRID,PORTERO,,,,,,,68.0,84.0,89.0,74.0,86.0,88.0
1,A. LUNIN,REAL MADRID,PORTERO,,,,,,,56.0,72.0,71.0,74.0,75.0,77.0
2,D. ALABA,REAL MADRID,DEFENSA,84.0,79.0,80.0,82.0,80.0,80.0,,,,,,
3,EDER MILITAO,REAL MADRID,DEFENSA,81.0,48.0,67.0,72.0,62.0,80.0,,,,,,
4,D. CARVAJAL,REAL MADRID,DEFENSA,80.0,57.0,78.0,80.0,68.0,81.0,,,,,,
5,F. MENDY,REAL MADRID,DEFENSA,92.0,58.0,77.0,82.0,67.0,82.0,,,,,,
6,NACHO,REAL MADRID,DEFENSA,78.0,42.0,63.0,69.0,60.0,77.0,,,,,,
7,LUCAS VAZQUEZ,REAL MADRID,DEFENSA,82.0,74.0,80.0,81.0,61.0,76.0,,,,,,
8,MARCELO,REAL MADRID,DEFENSA,78.0,73.0,81.0,85.0,66.0,74.0,,,,,,
9,J. VALLEJO,REAL MADRID,DEFENSA,70.0,35.0,52.0,65.0,55.0,70.0,,,,,,
10,T. KROOS,REAL MADRID,CENTROCAMPISTA,54.0,85.0,90.0,72.0,60.0,66.0,,,,,,
11,CASEMIRO,REAL MADRID,CENTROCAMPISTA,65.0,73.0,74.0,67.0,67.0,83.0,,,,,,
12,F. VALVERDE,REAL MADRID,CENTROCAMPISTA,86.0,73.0,77.0,80.0,64.0,77.0,,,,,,
13,L. MODRIC,REAL MADRID,CENTROCAMPISTA,73.0,80.0,88.0,86.0,66.0,77.0,,,,,,
14,ISCO,REAL MADRID,CENTROCAMPISTA,70.0,76.0,82.0,85.0,57.0,68.0,,,,,,
15,E. CAMAVINGA,REAL MADRID,CENTROCAMPISTA,73.0,65.0,75.0,79.0,63.0,76.0,,,,,,
16,D. CEBALLOS,REAL MADRID,CENTROCAMPISTA,62.0,71.0,77.0,78.0,60.0,68.0,,,,,,
17,K. BENZEMA,REAL MADRID,DELANTERO,75.0,81.0,80.0,83.0,40.0,81.0,,,,,,
18,VINICIUS JR.,REAL MADRID,DELANTERO,95.0,70.0,72.0,91.0,38.0,77.0,,,,,,
19,RODRYGO,REAL MADRID,DELANTERO,87.0,72.0,71.0,85.0,43.0,72.0,,,,,,
20,M. ASENSIO,REAL MADRID,DELANTERO,85.0,82.0,83.0,84.0,51.0,70.0,,,,,,
21,G. BALE,REAL MADRID,DELANTERO,83.0,88.0,83.0,81.0,51.0,75.0,,,,,,
22,L. JOVIC,REAL MADRID,DELANTERO,75.0,73.0,69.0,77.0,37.0,77.0,,,,,,
23,E. HAZARD,REAL MADRID,DELANTERO,87.0,81.0,82.0,90.0,44.0,73.0,,,,,,
24,MARIANO,REAL MADRID,DELANTERO,77.0,77.0,61.0,75.0,45.0,79.0,,,,,,
25,M. TER STEGEN,FC BARCELONA,PORTERO,,,,,,,79.0,88.0,85.0,88.0,88.0,90.0
26,NETO,FC BARCELONA,PORTERO,,,,,,,83.0,83.0,79.0,78.0,79.0,81.0
27,ARNAU TENAS,FC BARCELONA,PORTERO,,,,,,,81.0,85.5,82.0,83.0,83.5,85.5
28,JORDI ALBA,FC BARCELONA,DEFENSA,87.0,67.0,81.0,86.0,68.0,80.0,,,,,,
29,D. ALVES,FC BARCELONA,DEFENSA,76.0,77.0,82.0,82.0,79.0,75.0,,,,,,
30,G. PIQUE,FC BARCELONA,DEFENSA,57.0,54.0,70.0,63.0,59.0,75.0,,,,,,
31,R. ARAUJO,FC BARCELONA,DEFENSA,72.0,37.0,46.0,55.0,49.0,66.0,,,,,,
32,E. GARCIA,FC BARCELONA,DEFENSA,63.0,40.0,56.0,63.0,52.0,70.0,,,,,,
33,C. LENGLET,FC BARCELONA,DEFENSA,74.0,46.0,66.0,67.0,61.0,77.0,,,,,,
34,SERGI ROBERTO,FC BARCELONA,DEFENSA,76.0,64.0,80.0,75.0,62.0,70.0,,,,,,
35,S. DEST,FC BARCELONA,DEFENSA,88.0,56.0,72.0,85.0,60.0,72.0,,,,,,
36,S. UMTITI,FC BARCELONA,DEFENSA,66.0,70.0,68.0,65.0,60.0,73.0,,,,,,
37,O. MINGUEZA,FC BARCELONA,DEFENSA,73.6,55.2,68.4,71.5,61.0,73.0,,,,,,
38,ALEX BALDE,FC BARCELONA,DEFENSA,73.6,55.2,68.4,71.5,61.0,73.0,,,,,,
39,M. WAGUE,FC BARCELONA,DEFENSA,77.0,41.0,63.0,74.0,60.0,72.0,,,,,,
40,F. DE JONG,FC BARCELONA,CENTROCAMPISTA,81.0,70.0,84.0,85.0,65.0,82.0,,,,,,
41,S. BUSQUETS,FC BARCELONA,CENTROCAMPISTA,42.0,59.0,76.0,68.0,63.0,74.0,,,,,,
42,PEDRI,FC BARCELONA,CENTROCAMPISTA,81.0,58.0,74.0,83.0,59.0,70.0,,,,,,
43,GAVI,FC BARCELONA,CENTROCAMPISTA,69.0,52.0,70.0,74.0,52.0,58.0,,,,,,
44,NICO GONZALEZ,FC BARCELONA,CENTROCAMPISTA,68.2,59.4,75.6,77.8,58.2,70.2,,,,,,
45,RIQUI PUIG,FC BARCELONA,CENTROCAMPISTA,68.0,58.0,74.0,79.0,52.0,67.0,,,,,,
46,P. AUBAMEYANG,FC BARCELONA,DELANTERO,90.0,80.0,75.0,81.0,45.0,78.0,,,,,,
47,MEMPHIS,FC BARCELONA,DELANTERO,83.0,82.0,82.0,84.0,41.0,79.0,,,,,,
48,FERRAN TORRES,FC BARCELONA,DELANTERO,84.0,71.0,78.0,84.0,40.0,75.0,,,,,,
49,O. DEMBELE,FC BARCELONA,DELANTERO,94.0,76.0,79.0,89.0,43.0,69.0,,,,,,
50,L. DE JONG,FC BARCELONA,DELANTERO,55.0,74.0,68.0,64.0,44.0,76.0,,,,,,
51,A. TRAORE,FC BARCELONA,DELANTERO,97.0,61.0,67.0,89.0,44.0,79.0,,,,,,
52,M. BRAITHWAITE,FC BARCELONA,DELANTERO,80.0,74.0,70.0,79.0,40.0,77.0,,,,,,
53,Y. DEMIR,FC BARCELONA,DELANTERO,84.0,72.375,73.375,81.75,41.875,75.375,,,,,,
54,ANSU FATI,FC BARCELONA,DELANTERO,89.0,61.0,68.0,84.0,38.0,70.0,,,,,,
55,J. OBLAK,ATLETICO DE MADRID,PORTERO,,,,,,,78.0,87.0,92.0,78.0,90.0,90.0
56,B. LECOMTE,ATLETICO DE MADRID,PORTERO,,,,,,,62.0,80.0,78.0,77.0,80.0,81.0
57,J. GIMENEZ,ATLETICO DE MADRID,DEFENSA,72.0,46.0,53.0,61.0,56.0,73.0,,,,,,
58,REINILDO,ATLETICO DE MADRID,DEFENSA,77.0,50.0,65.0,73.0,61.0,74.0,,,,,,
59,S. SAVIC,ATLETICO DE MADRID,DEFENSA,62.0,33.0,50.0,59.0,54.0,71.0,,,,,,
60,RENAN LODI,ATLETICO DE MADRID,DEFENSA,84.0,68.0,77.0,83.0,65.0,79.0,,,,,,
61,FELIPE,ATLETICO DE MADRID,DEFENSA,62.0,39.0,54.0,61.0,56.0,79.0,,,,,,
62,M. HERMOSO,ATLETICO DE MADRID,DEFENSA,85.0,49.0,61.0,73.0,73.0,75.0,,,,,,
63,S. VRSALJKO,ATLETICO DE MADRID,DEFENSA,73.66666666666667,47.5,60.0,68.33333333333333,60.833333333333336,75.16666666666667,,,,,,
64,KOKE,ATLETICO DE MADRID,CENTROCAMPISTA,67.0,76.0,85.0,76.0,66.0,78.0,,,,,,
65,R. DE PAUL,ATLETICO DE MADRID,CENTROCAMPISTA,75.0,77.0,83.0,81.0,54.0,71.0,,,,,,
66,M. LLORENTE,ATLETICO DE MADRID,CENTROCAMPISTA,87.0,72.0,80.0,83.0,65.0,81.0,,,,,,
67,D. WASS,ATLETICO DE MADRID,CENTROCAMPISTA,75.0,79.0,79.0,76.0,63.0,76.0,,,,,,
68,T. LEMAR,ATLETICO DE MADRID,CENTROCAMPISTA,80.0,80.0,81.0,85.0,59.0,74.0,,,,,,
69,G. KONDOGBIA,ATLETICO DE MADRID,CENTROCAMPISTA,69.0,70.0,73.0,74.0,64.0,81.0,,,,,,
70,H. HERRERA,ATLETICO DE MADRID,CENTROCAMPISTA,72.0,71.0,74.0,75.0,64.0,81.0,,,,,,
71,A. GRIEZMANN,ATLETICO DE MADRID,DELANTERO,80.0,84.0,84.0,86.0,54.0,84.0,,,,,,
72,L. SUAREZ,ATLETICO DE MADRID,DELANTERO,71.0,87.0,82.0,79.0,49.0,80.0,,,,,,
73,Y. CARRASCO,ATLETICO DE MADRID,DELANTERO,87.0,79.0,77.0,85.0,46.0,75.0,,,,,,
