,fecha,portero_l,defensas_l,centrocampistas_l,delanteros_l,alineacion_l,local,Resultado_l,gol_l,gol_v,Resultado_v,visitante,alineacion_v,portero_v,defensas_v,centrocampistas_v,delanteros_v,victorias_l,empates,victorias_v
0,2021-08-13,76.42,67.5,71.54,70.11,4-4-2,VALENCIA,G,1,0,P,GETAFE,4-4-2,77.0,60.2,65.5,65.42,17,8,12
1,2021-08-14,68.17,62.46,63.96,64.83,4-3-3,MALLORCA,E,1,1,E,REAL BETIS,4-2-3-1,76.83,63.77,69.71,62.17,31,13,30
2,2021-08-14,72.5,59.3,64.73,63.68,4-2-3-1,CADIZ,E,1,1,E,LEVANTE,4-4-2,79.0,61.42,70.08,68.08,13,13,16
3,2021-08-14,78.5,58.04,62.83,63.71,4-2-3-1,DEPORTIVO ALAVES,P,1,4,G,REAL MADRID,4-3-3,81.5,72.42,75.33,75.44,5,3,30
4,2021-08-14,72.5,59.17,62.89,62.42,4-5-1,OSASUNA,E,0,0,E,ESPANYOL,4-2-3-1,72.67,62.47,68.0,68.38,31,16,28
5,2021-08-15,68.0,62.78,69.39,71.94,4-4-2,CELTA,P,1,2,G,ATLETICO,3-5-2,85.83,61.44,75.0,75.17,28,23,74
6,2021-08-15,80.5,67.67,70.78,74.61,4-3-3,BARCELONA,G,4,2,P,R. SOCIEDAD,4-2-3-1,77.67,59.71,70.56,74.0,108,43,36
7,2021-08-15,75.0,69.0,68.0,67.33,3-6-1,SEVILLA,G,3,0,P,RAYO VALLECANO,4-2-3-1,65.83,63.25,64.48,68.33,30,8,12
8,2021-08-16,76.83,66.13,66.17,67.4,4-4-2,VILLARREAL,E,0,0,E,GRANADA,4-2-3-1,68.5,60.12,67.3,71.0,9,6,3
9,2021-08-16,70.17,60.83,55.08,64.92,3-5-2,ELCHE,E,0,0,E,ATHLETIC,4-4-2,70.83,65.17,68.7,73.67,12,15,21
10,2021-08-20,76.83,60.33,72.92,63.67,4-2-3-1,REAL BETIS,E,1,1,E,CADIZ,4-4-2,72.5,59.3,64.68,63.51,34,18,16
11,2021-08-21,78.5,59.46,62.83,63.71,4-5-1,DEPORTIVO ALAVES,P,0,1,G,MALLORCA,4-2-3-1,68.17,61.21,64.83,64.92,10,6,18
12,2021-08-21,68.5,60.12,64.02,66.67,5-3-2,GRANADA,E,1,1,E,VALENCIA,4-4-2,76.42,67.5,72.11,70.11,18,10,38
13,2021-08-21,72.67,62.47,69.83,67.62,4-4-2,ESPANYOL,E,0,0,E,VILLARREAL,4-4-2,76.83,66.13,66.17,68.11,14,20,16
14,2021-08-21,70.83,64.42,68.7,73.67,4-4-2,ATHLETIC,E,1,1,E,BARCELONA,4-3-3,80.5,67.67,70.78,74.61,78,38,118
15,2021-08-22,77.67,60.29,70.56,68.94,4-5-1,R. SOCIEDAD,G,1,0,P,RAYO VALLECANO,4-2-3-1,70.5,57.92,63.89,65.83,19,12,15
16,2021-08-22,85.83,57.5,74.75,75.17,3-5-2,ATLETICO,G,1,0,P,ELCHE,5-3-2,70.17,61.37,55.08,66.11,32,10,12
17,2021-08-22,79.0,64.75,68.06,69.67,4-3-3,LEVANTE,E,3,3,E,REAL MADRID,4-3-3,81.5,72.42,73.56,75.44,6,3,25
18,2021-08-23,77.0,61.92,65.5,66.39,4-4-2,GETAFE,P,0,1,G,SEVILLA,4-2-3-1,73.0,71.79,70.17,68.0,13,7,17
19,2021-08-23,72.5,60.08,62.89,64.56,4-3-3,OSASUNA,E,0,0,E,CELTA,4-4-2,68.0,62.11,69.39,71.94,29,9,34
20,2021-08-27,68.17,61.21,63.5,64.0,4-2-3-1,MALLORCA,G,1,0,P,ESPANYOL,4-4-2,72.67,61.54,69.83,67.62,24,12,27
21,2021-08-27,76.42,67.5,71.54,70.11,4-4-2,VALENCIA,G,3,0,P,DEPORTIVO ALAVES,4-4-2,78.5,57.29,60.22,62.32,20,9,9
22,2021-08-28,68.0,60.83,69.39,71.94,4-4-2,CELTA,P,0,1,G,ATHLETIC,4-4-2,77.17,64.42,68.7,73.67,35,26,66
23,2021-08-28,77.67,60.29,70.56,68.94,4-5-1,R. SOCIEDAD,G,1,0,P,LEVANTE,4-4-2,68.33,64.25,69.75,67.73,13,11,12
24,2021-08-28,70.17,60.71,55.08,65.79,5-3-2,ELCHE,E,1,1,E,SEVILLA,4-3-3,73.0,69.83,68.88,68.0,14,11,23
25,2021-08-28,76.83,60.83,71.12,65.17,4-2-3-1,REAL BETIS,P,0,1,G,REAL MADRID,4-3-3,81.5,73.73,73.56,74.67,31,28,74
26,2021-08-29,86.33,67.83,70.75,74.61,4-3-3,BARCELONA,G,2,1,P,GETAFE,4-4-2,77.0,59.12,66.29,65.42,26,6,4
27,2021-08-29,72.5,61.41,64.52,63.68,4-5-1,CADIZ,P,2,3,G,OSASUNA,4-5-1,72.08,60.08,61.62,66.17,10,15,22
28,2021-08-29,70.5,57.92,66.17,68.58,4-2-3-1,RAYO VALLECANO,G,4,0,P,GRANADA,4-3-3,68.5,59.42,66.28,67.39,15,5,6
29,2021-08-29,85.83,64.71,76.39,75.0,3-5-2,ATLETICO,E,2,2,E,VILLARREAL,4-4-2,76.83,65.03,66.17,67.4,15,11,14
30,2021-09-11,79.0,64.75,70.08,70.26,4-3-3,LEVANTE,E,1,1,E,RAYO VALLECANO,4-2-3-1,70.5,57.92,66.17,68.58,17,13,14
31,2021-09-11,77.17,64.42,69.28,55.56,4-4-2,ATHLETIC,G,2,0,P,MALLORCA,4-2-3-1,68.17,61.33,64.83,64.0,30,14,18
32,2021-09-12,72.67,65.54,69.11,70.17,4-2-3-1,ESPANYOL,P,1,2,G,ATLETICO,3-6-1,85.83,64.29,76.33,75.92,59,33,97
33,2021-09-12,72.5,60.08,62.89,66.17,4-5-1,OSASUNA,P,1,4,G,VALENCIA,4-4-2,76.42,67.5,71.54,70.11,18,23,43
34,2021-09-12,72.5,62.95,65.0,63.84,4-4-2,CADIZ,P,0,2,G,R. SOCIEDAD,4-5-1,77.67,60.29,70.56,73.39,8,12,16
35,2021-09-12,81.5,69.73,75.33,74.44,4-4-2,REAL MADRID,G,5,2,P,CELTA,4-4-2,68.0,63.08,69.39,72.89,71,21,34
36,2021-09-13,77.0,62.96,66.29,63.92,4-4-2,GETAFE,P,0,1,G,ELCHE,3-5-2,70.17,62.33,56.67,67.28,5,12,2
37,2021-09-13,71.83,60.25,64.02,70.06,4-5-1,GRANADA,P,1,2,G,REAL BETIS,4-2-3-1,76.83,67.5,65.59,67.83,18,11,25
