,portero_l,defensas_l,centrocampistas_l,delanteros_l,alineacion_l,local,Resultado_l,visitante,alineacion_v,portero_v,defensas_v,centrocampistas_v,delanteros_v,victorias_l,empates,victorias_v
0,72.5,60.838750000000005,62.54777777777778,66.88888888888889,4-2-3-1,OSASUNA,G,SEVILLA,4-2-3-1,73.0,70.8888888888889,72.79166666666667,72.55555555555556,31,26,49
1,78.83333333333333,59.791666666666664,68.05555555555556,69.8888888888889,4-4-2,CELTA,E,ESPANYOL,4-5-1,76.33333333333333,62.30250000000001,67.94500000000001,62.083333333333336,44,33,58
2,79.66666666666667,63.92166666666666,64.80555555555556,68.22222222222221,4-5-1,REAL VALLADOLID,P,VILLARREAL,4-3-3,76.83333333333333,63.833333333333336,69.22222222222221,70.79666666666667,11,6,13
3,86.33333333333333,61.791666666666664,65.66666666666666,75.77777777777779,4-3-3,BARCELONA,E,RAYO VALLECANO,4-2-3-1,70.5,60.958333333333336,70.19444444444446,64.11111111111111,27,8,6
4,72.5,63.418055555555554,65.83333333333333,66.11944444444445,4-4-2,CADIZ,P,R. SOCIEDAD,4-4-2,77.66666666666667,62.0,69.83333333333333,68.91666666666667,8,12,18
5,76.41666666666667,62.09375,69.94444444444444,63.833333333333336,4-3-3,VALENCIA,G,GIRONA,3-6-1,72.01620370370371,54.906,65.72222222222221,54.833333333333336,4,1,1
6,72.01620370370371,54.900666666666666,62.0,60.416666666666664,5-3-2,ALMERIA,P,REAL MADRID,4-3-3,81.5,69.66666666666667,71.83333333333333,73.58333333333333,1,2,9
7,77.16666666666667,66.20833333333333,67.56944444444444,69.66666666666667,4-2-3-1,ATHLETIC,E,MALLORCA,5-4-1,70.33333333333333,63.26666666666667,66.5475,54.5,31,14,19
8,77.0,59.07633333333334,65.5,64.91666666666667,5-3-2,GETAFE,P,ATLETICO,5-3-2,85.83333333333333,62.72222222222223,74.93333333333332,71.91666666666667,4,9,26
9,76.83333333333333,60.25,65.82166666666667,63.666666666666664,4-2-3-1,REAL BETIS,G,ELCHE,3-6-1,73.16666666666667,60.75533333333333,60.333333333333336,66.5,20,18,17
10,76.33333333333333,61.82966666666666,65.46333333333334,62.083333333333336,4-2-3-1,ESPANYOL,P,RAYO VALLECANO,4-2-3-1,70.5,60.958333333333336,70.19444444444446,64.11111111111111,17,13,13
11,73.0,65.95833333333333,70.95833333333333,68.08333333333333,4-3-3,SEVILLA,E,REAL VALLADOLID,4-3-3,79.66666666666667,64.26,65.54166666666667,62.916666666666664,50,22,32
12,72.5,60.838750000000005,62.54777777777778,65.11111111111111,4-2-3-1,OSASUNA,G,CADIZ,4-4-2,72.5,63.92833333333334,64.2,66.11944444444445,24,15,10
13,70.33333333333333,63.26666666666667,66.5475,54.5,5-4-1,MALLORCA,P,REAL BETIS,4-2-3-1,76.83333333333333,60.25,65.82166666666667,63.666666666666664,31,14,31
14,78.83333333333333,59.791666666666664,67.16666666666667,69.8888888888889,4-4-2,CELTA,P,REAL MADRID,4-3-3,81.5,74.875,73.625,73.58333333333333,34,21,73
15,77.16666666666667,66.20833333333333,67.56944444444444,68.1388888888889,4-2-3-1,ATHLETIC,G,VALENCIA,4-3-3,76.41666666666667,63.302083333333336,69.94444444444444,63.833333333333336,69,48,75
16,85.83333333333333,62.72222222222223,75.16666666666667,72.8888888888889,3-5-2,ATLETICO,P,VILLARREAL,4-4-2,76.83333333333333,63.833333333333336,70.3888888888889,70.79666666666667,15,13,14
17,77.66666666666667,61.541666666666664,69.83333333333333,68.91666666666667,4-4-2,R. SOCIEDAD,P,BARCELONA,3-6-1,86.33333333333333,58.91625,70.3888888888889,74.22222222222223,36,43,110
18,73.16666666666667,62.958333333333336,61.05555555555555,66.66666666666667,4-4-2,ELCHE,E,ALMERIA,3-5-2,72.01620370370371,56.33416666666667,61.70666666666667,60.416666666666664,10,10,13
19,72.01620370370371,56.19133333333334,66.0,58.555555555555564,3-5-2,GIRONA,G,GETAFE,5-3-2,77.0,59.07633333333334,65.5,64.91666666666667,3,4,3
20,72.01620370370371,56.19133333333334,66.0,57.5,4-4-2,GIRONA,P,CELTA,4-3-3,78.83333333333333,59.791666666666664,67.16666666666667,71.38888888888889,5,3,7
21,76.83333333333333,60.25,65.82166666666667,63.666666666666664,4-2-3-1,REAL BETIS,G,OSASUNA,4-2-3-1,72.5,61.83766666666666,62.54777777777778,69.66666666666667,38,13,25
22,73.16666666666667,62.958333333333336,61.05555555555555,66.66666666666667,4-4-2,ELCHE,P,R. SOCIEDAD,4-4-2,77.66666666666667,62.958333333333336,69.83333333333333,67.5,12,9,24
23,70.5,62.166666666666664,67.52083333333333,65.67500000000001,4-2-3-1,RAYO VALLECANO,P,MALLORCA,5-3-2,70.33333333333333,63.26666666666667,66.5475,54.5,19,11,24
24,72.01620370370371,58.46733333333333,62.0,60.416666666666664,5-3-2,ALMERIA,G,SEVILLA,4-3-3,73.0,67.33333333333333,70.95833333333333,68.08333333333333,3,0,10
25,77.0,59.149166666666666,65.44444444444444,69.05555555555556,4-4-2,GETAFE,E,VILLARREAL,4-4-2,76.83333333333333,63.833333333333336,70.3888888888889,72.63,10,8,25
